"Title","Pestañas","Imagen","Categoría","Tela","Enlace de Botón de Cotizar","ID","Created Date","Updated Date","Owner"
"Tapizado de sofá café","Residencial","wix:image://v1/69fcc1_b02ec9796f844600bad1e7cd3e7375dc~mv2.jpg/photo-1540574163026-643ea20ade25.jpg#originWidth=1400&originHeight=933","Sofá","Piel",,"123b71cd-3cf4-49e7-9413-ef9bf643df27",2026-04-14T20:34:20Z,2026-04-14T20:34:58Z,"45119e62-fb47-42df-8e3f-62a36597ee45"
"Remodelación departamento","Residencial","wix:image://v1/45119e_89126e293f644d349d510bb338701110~mv2.jpeg/WhatsApp%20Image%202026-04-13%20at%203.55.10%20PM%20(4).jpeg#originWidth=900&originHeight=1600","Diseño de interiores","Interiorismo",,"3a4931dc-2fbb-43ef-b518-6d300820e5da",2026-04-14T20:02:57Z,2026-04-14T20:13:10Z,"45119e62-fb47-42df-8e3f-62a36597ee45"
"Tapizado de sofá","Restaurantes","wix:image://v1/69fcc1_240e5cc041f0459a8b1e5d877ee7254f~mv2.jpeg/WhatsApp%20Image%202026-04-09%20at%204.38.04%20PM.jpeg#originWidth=1600&originHeight=1200","Sofá","Lino",,"3b37bb4a-2715-4e53-8e6a-4ad6ccb15a37",2026-04-14T20:02:13Z,2026-04-14T22:06:53Z,"45119e62-fb47-42df-8e3f-62a36597ee45"
"Tapizado de comedor","Residencial","wix:image://v1/69fcc1_0073497d2bc64f8083880df6bcb203be~mv2.jpg/photo-1617806118233-18e1de247200.jpg#originWidth=1400&originHeight=788","Comedor","Lino",,"3bbf9e3e-6b08-4bfa-8ca2-2ca1c5513a69",2026-04-14T20:33:04Z,2026-04-14T20:34:57Z,"45119e62-fb47-42df-8e3f-62a36597ee45"
"Tapizado de silla beige","Residencial","wix:image://v1/69fcc1_40f44901093e401b98f5c5baaa4b9a5a~mv2.jpg/photo-1580480055273-228ff5388ef8.jpg#originWidth=1400&originHeight=2100","Silla","Weave cerrado",,"3f97a516-f4ec-49d0-981c-8dc58c00f8dc",2026-04-14T20:35:39Z,2026-04-14T21:08:35Z,"45119e62-fb47-42df-8e3f-62a36597ee45"
"Tapizado de silla gris","Otro","wix:image://v1/69fcc1_23cbe108b014475fb77c117eb20df02c~mv2.jpg/photo-1598300042247-d088f8ab3a91.jpg#originWidth=1400&originHeight=1750","Silla","Lona","https://wa.link/2n2nnk","4246420f-1b7f-4929-8e6f-c0fcb47cf901",2026-04-09T22:58:07Z,2026-04-14T20:34:34Z,"69fcc116-239a-4a02-9d94-8cc5b6914ded"
"Tapizado de camastro","Hoteles","wix:image://v1/45119e_c8ca35971c91456ab4f601c66b3558a4~mv2.jpeg/WhatsApp%20Image%202026-04-13%20at%203.55.09%20PM%20(7).jpeg#originWidth=1599&originHeight=899","Camastro","Piel",,"4520752d-b2ed-41e8-9cd1-d3f0156c7f96",2026-04-14T20:02:31Z,2026-04-14T20:34:38Z,"45119e62-fb47-42df-8e3f-62a36597ee45"
"Tapizado de sillon rojo","Residencial","wix:image://v1/69fcc1_6677df3a553d4e3b8af86b4d4b56877a~mv2.jpg/photo-1567016432779-094069958ea5.jpg#originWidth=1400&originHeight=1400","Sillón","Tela","https://wa.link/0qldoq","9cf5e250-e5a3-4417-84c3-85893bbcb2c0",2026-04-10T01:10:15Z,2026-04-14T20:34:46Z,"69fcc116-239a-4a02-9d94-8cc5b6914ded"
"Tapizado sofá gris","Residencial","wix:image://v1/69fcc1_9f1629d1053c4304abdd5aa9a39d7eee~mv2.jpg/photo-1493663284031-b7e3aefcae8e.jpg#originWidth=1400&originHeight=933","Sofá","Weave",,"9f52daf3-e871-4beb-b2d2-67e32727a4e6",2026-04-14T20:31:48Z,2026-04-14T20:34:26Z,"45119e62-fb47-42df-8e3f-62a36597ee45"
"Tapizado de ","Residencial","wix:image://v1/69fcc1_dfe7fe3fa825435b8e477d43c09273be~mv2.jpg/photo-1616594039964-ae9021a400a0.jpg#originWidth=1400&originHeight=1400","Cabecera","Capitonado",,"a4d8414a-a6c9-4520-adc6-52d9d034e595",2026-04-14T20:02:42Z,2026-04-14T20:12:56Z,"45119e62-fb47-42df-8e3f-62a36597ee45"
"Tapizado de booth","Restaurantes","wix:image://v1/45119e_27e0cf5c7428436eaf642575bba70c46~mv2.jpg/6627411f225836c80c652d7d_PHOTO-2021-08-16-15-54-50%202.jpg#originWidth=768&originHeight=1024","Boothd","Piel italiana",,"af38f0d8-3510-4736-a607-9ad2331dae7c",2026-04-14T20:02:35Z,2026-04-14T20:34:42Z,"45119e62-fb47-42df-8e3f-62a36597ee45"
"Tapizado sofá verde","Residencial","wix:image://v1/69fcc1_6ca930b3f9304f8eb30846f2090dd987~mv2.jpg/photo-1555041469-a586c61ea9bc.jpg#originWidth=1400&originHeight=933","Sofá","Terciopelo",,"c03ade88-4237-4a4a-9b89-d71b147b6c75",2026-04-14T20:31:34Z,2026-04-14T20:34:30Z,"45119e62-fb47-42df-8e3f-62a36597ee45"
